,Title,Date,Ship,Ship_category,Summary,Language,Word_Count,Comments,Chapters,Kudos,Bookmarks,Hits
708,what is dead may never die,2020,Regulus Black & Sirius Black,F/M,"before he can be drowned by the inferi, kreacher disapparates regulus to sirius black and remus lupin's apartment.orhow things should have gone in canon.",English,"7,666",76,1/1,"7,850","1,267","60,328"
709,(The Piece) I was Missing All Along,2014,Draco Malfoy/Harry Potter,M/M,"Draco and Harry have been flatmates and best friends for years, and Draco thinks life is just perfect that way. But when something comes along and threatens to take all that away, Draco has to decide what it is he really wants, and just how hard he's going to work to get it.",English,"30,778",399,1/1,"7,847","1,918","128,252"
710,the girl who lived,2016,Harry Potter/Ginny Weasley,F/F,"Harriet Lily Potter was left on the doorstep of 4 Privet Drive. They called her ugly and gave her Dudley's hand-me-downs. They would tell people that she went to a boarding school for troubled young women. Dudley still offered to stick her head in toilets, and she still learned to snap back, ""Really, Duds? The poor toilet's never had anything as nasty as your head down it, it might hurt it,"" and run.Harry was the kind of girl who came home with scabby knees, who snuck the kitchen shears in the dead of night to snip her dark messy hair short.She wondered, as she curled up in her cupboard, if Vernon and Petunia would have loved a niece who was pretty instead of scrappy, who had soft hands and never burned the bacon at breakfast.",English,"8,898",199,1/1,"7,846",976,"86,637"
711,Hell is Your Son-In-Law from Another Dimension,2017,Harry Potter/Voldemort,M/M,"A desperate Order of the Phoenix discovers a ritual to summon from another world a hero who has the power to defeat Voldemort. But when two people are bound so closely together, the ritual's magic just decides to bring them both and let things sort themselves out.",English,"3,498",158,1/1,"7,840",791,"88,554"
712,"consumed, obsessed, and attached",2020,Hermione Granger/Draco Malfoy,F/M,"“Missed you.” He kisses her again. “God, I missed you.”She laughs. The sound’s half-swallowed by Draco’s lips. She entwines her arms around his neck, meeting his kiss with a fire that’s all her own. He wraps an arm around her waist, crushing her against his chest, and walks her quickly backwards towards the bedroom.“It was only for two weeks. You said you’d be fine.” Her voice is teasing and lilting slightly, the way it does when she’s smiling. Draco’s face is buried against her neck, nipping his way down the column of her pale throat but he can hear her grin.",English,"2,412",97,1/1,"7,837","1,015","226,512"
713,pathological people pleaser,2023,Regulus Black/James Potter,M/M,"No one, it turns out, really knows one another.(OR: all it takes is a summer-long holiday in Italy, James Potter's teetering mental stability, a secret relationship, friends with benefits, Marlene’s secret, and enough stupidity and insecurity to go around for everything to come crashing down around them.)",English,"114,435",950,19/19,"7,830","2,789","221,220"
714,Powerful Men,2019,Harry Potter & Tom Riddle,Gen,"Tom didn’t know whose idea it was that a mysterious man who had walked out of the Veil of Death should be the guest lecturer for Defense Against the Dark Arts while Professor Merrythought dealt with some kind of magical emergency, but he could thank them. And curse them. Henry Evans changes Tom’s life.",English,"4,384",115,1/1,"7,830","1,279","54,969"
715,When in Rome,2018,Harry Potter/Tom Riddle,F/M,"COMPLETE. When Harry and Hermione inadvertently tumble half a century into the past, they find themselves in the same year as the notorious Head Boy, Tom Riddle. Both Harry and Hermione's courage will be tested when they are confronted by chances of romance from the most unexpected of places, and unlikely enemies hiding in the tallgrass.Lost in the past, they may well forget the way home.Not DH compliant.",English,"164,267","2,084",31/31,"7,821","1,900","250,137"
716,the brightest witch of her age,2017,Hermione Granger/Ron Weasley,No category,"When Hermione Jean Granger was one year old her parents died in a car crash. She knew all about it because she asked a lot of questions and her aunt and uncle believed in answering them.Why is the sky blue, auntie? Why are b's and d's like in the mirror? Where do songs come from? Why did Jenny Hopkins call me a--?Her father had accelerated into a green light, like you were supposed to. (By the time she was eight, Hermione had the driver's rulebook memorized). A truck driver, going the opposite way, hadn't stopped at a red.Hermione had been strapped in a car seat in the back, her aunt and uncle told her. She hadn't been hurt at all except for the scar that stood out, jagged, on her forehead.As Hermione grew up into a gangly, bushy-haired, buck-toothed wonder, she thought she could remember it-- a glaring green light, a rush of cold air.",English,"22,252",410,1/1,"7,811","1,080","100,957"
717,Once more with feeling,2021,Harry Potter/Tony Stark,M/M,"Harry can't say he was exactly thrilled about being thrust into a new world and leaving everything behind, but slowly, sometimes quite so, he carves out his place and makes a new life for himself. That said life somehow includes his long-lost godfather, a team of superheroes, a Norse god for a best friend, and a magical shop that caters to Muggles was not what he was expecting. That he ends up falling in love and getting a new family out of it was even less expected.He thinks it all might end up being worth it.",English,"154,843","1,763",38/38,"7,807","2,789","257,453"
718,Instar,2021,Theodore Nott/Harry Potter,M/M,"It begins because Theo wants to annoy Draco, and expressing support for Harry Potter in the Triwizard Tournament is the way to do that. But it continues from there because Theo can see exactly how valuable Potter is--no matter that everyone else ignores it.",English,"2,963",119,1/1,"7,802",863,"72,117"
719,A Snake Named Voldemort,2014,Harry Potter/Tom Riddle,M/M,"After being turned into a snake and unable to change back, Lord Voldemort is forced to turn to the only other living Parselmouth, Harry Potter. After making a deal, Harry agrees to help the Dark Lord return to his human form. SLASH HP/LVTMR",English,"173,220",448,24/24,"7,801","2,833","215,921"
720,The Wrong Sort,2020,Draco Malfoy/Harry Potter,F/M,In which Draco Malfoy is sorted into Gryffindor and everything kind of goes to Hell from there… but hey. At least there’s a chance he won’t grow up to be an awful person. Alternatively titled ‘Draco Malfoy and the Worst Goddamn Seven Years of His Life’,English,"289,497","1,968",20/20,"7,800","2,523","237,790"
721,At the end of every road,2023,Harry Potter/Tom Riddle,M/M,"One would think traveling 52 years into the past would allow Harry some much desired anonymity, but unfortunately the malfunctioning Triwizard Cup spat Harry out on the quidditch pitch in the middle of a game. There's no lying about his provenance while a shiny plaque on the base of the Cup announces to everyone he is 'Harry Potter, Hogwarts Champion, 1994.'Swept up by the ministry and sworn to secrecy by the Unspeakables, Harry is left to navigate the past on his own. Good thing his great-grandparents are willing to take him in - even if they're a little more into blood purity than Harry had expected - and Hogwarts is willing to welcome him back - even if he's a novelty to everyone as the time traveling Champion.At least Harry will have the familiarity of Gryffindor Tower to ease his homesickness. Or he would, if the sorting hat hadn't put him in Slytherin, where he's forced to share a dorm with none other than Tom Riddle.---In which Harry is determined to prevent Voldemort's rise, even if he has to stalk, bribe, threaten, and marry Tom Riddle to do it.",English,"90,346","1,012",9/9,"7,762","2,419","135,358"
722,A Whole New World,2021,Legolas Greenleaf/Harry Potter,M/M,"As the ring melted in Mt. Doom, a new evil emerged from the ashes. But Harry Potter, who has been mysteriously pulled into Middle Earth, wants nothing to do with fighting. He plans to spend the rest of his days in his Animagus form, forgetting the past and ignoring the future. That all changes the day an odd trio walks through the woods... Finally complete!",English,"80,427",572,37/37,"7,760","2,048","175,123"
723,Willing,2018,Severus Snape/Harry Potter,M/M,"Harry's been missing since he was 9 years old, the wizarding world have been looking him for seven years. Since he was eleven years old and did not come to Hogwarts. He's Seventeen when they find him, but they are in for a shock if they think he'd do what they wanted. Turns out Harry has known Severus for years, he's a metamorphamagus. Dumbledore's manipulations are found out, the world is in for a shock. I want to show a caring side to Dom/Sub so there won't be a rough side to be seen here.",English,"486,471","1,499",120/120,"7,759","2,304","423,385"
724,Stark Realisation,2020,Harry Potter/Tony Stark,M/M,Harry had no idea that a one-night stand would lead to something more. Tony had no idea what he was walking into when he focused his attention on a man that he knew was trouble. Starts pre-Ironman and Post Hogwarts.,English,"35,680",312,15/15,"7,757","2,054","132,355"
725,A Good Teacher,2015,N/A,Gen,"The other children in class stared at the teacher. Then they stared at Harry, then back to the teacher, then at Harry, in a never-ending loop.Harry found he couldn’t blame them. Everything from the bespectacled emerald eyes to the messy black hair—the resemblance between them was uncanny!",English,"12,989",390,1/1,"7,754","1,918","60,690"
726,A Cure For Nightmares [+podfic],2014,Sirius Black/Remus Lupin,M/M,"There's a mysterious new boy at St Godric's boarding school, and Sirius can't stop thinking about him, but the secret Remus is keeping might break Sirius's heart.",English,"36,083",366,14/14,"7,749","1,759","206,061"
727,The Syntax of Things,2021,Harry Potter/Severus Snape,M/M,"A short-lived series of private lessons took place after Christmas in Harry Potter's fifth school year, during which Severus Snape attempted to teach Harry the skill of Occlumency. The lessons were ultimately cancelled when Harry was caught prying into Snape's memories, discovering the strangest things: A mysterious prophecy connected Harry's fate with Voldemort's, Harry's dad was an insufferable bully, and Severus Snape had been in love with Harry's mum. Naturally, Harry now has a million questions. Snape would prefer to answer none.The world is full of obvious things which nobody by any chance ever observes. The same question arises in every soul: ""For what, for whom, must I kill and be killed?""...Or, a classic approach to stubbornness.*Most visited Snarry story of all time on AO3! Thank you!*This story now has aFanloreand aTvTropespage.*Now fully illustrated!*Available in English, Russian, Portuguese, Polish, Spanish, Chinese, Vietnamese & Korean! (see notes for links)",English,"200,436","3,522",72/72,"7,743","1,665","575,376"
728,Finest in Fairford,2012,Sirius Black/Remus Lupin,M/M,"Remus Lupin's job in a Fairford coffee shop is always uneventful, until an exotic new customer begins leaving messages with his tips.",English,"4,997",176,1/1,"7,739","1,013","65,347"
729,Impress Upon You,2020,Hermione Granger/Draco Malfoy,F/M,"Hermione had been in her office, up to her ears redrafting Britain’s new trade agreement with Denmark, when Malfoy came swanning in wanting to ‘consult’ with her. She’d let him in, assuming that he was there about the trade deal, given that their departments had been working together on it for over a year. That he was there to be useful.He was not.If—he’d casually framed the hypothetical, as he seated himself uninvited into an armchair and conjured an elaborate tea service—if someone wanted to try doing something Muggle, how would they go about it?Deck The Halls with Dramione 2020.",English,"4,389",207,1/1,"7,736",992,"80,383"
730,More Than That,2013,Draco Malfoy/Harry Potter,M/M,This is a story about two 52 year old men who refuse to age gracefully.,English,"10,964",261,1/1,"7,730","1,878","75,410"
731,Draco Malfoy and the Dark Lord's Diary,2018,Draco Malfoy/Harry Potter,M/M,"Draco enters his second year at Hogwarts School of Witchcraft and Wizardry, not knowing he would be confronted with exactly the identity he was trying to leave behind.",English,"29,456",692,7/7,"7,727",476,"120,429"
732,Sowilo,2012,Loki (Marvel)/Harry Potter,M/M,"Loki shelters from the rain in a coffee shop run by Harry Potter and somehow manages to change them both forever. - ""I've been calling you 'Mr Cappuccino' in my head all this time; you could have told me your name""-",English,"7,257",118,2/2,"7,702","1,525","63,301"
733,The Little Marauders Nursery and Day Care,2014,Draco Malfoy/Harry Potter,M/M,"Harry Potter is the proud owner of The Little Marauders Nursery and Day Care and his favourite student is Scorpius Malfoy. Scorpius's dad might be okay, too.",English,"9,835",169,1/1,"7,700","1,218","85,471"
734,The Way Down,2012,Draco Malfoy/Harry Potter,M/M,"Harry is overwhelmed by his own power and fame and angst, so he's become a hermit. Draco Malfoy is tired of the melodrama.",English,"65,615",465,9/9,"7,697","2,185","155,723"
735,Don't Blame Me (It Was All a Blur Last Night),2015,Draco Malfoy/Harry Potter,M/M,"""Stop moving, Potter,"" Malfoy mumbled from where his head was buried under a pillow. ""You're disturbing my hangover. Also, why are you still here?""""This is my hotel room,"" Harry told him.",English,"18,976",249,1/1,"7,683","1,231","86,390"
736,(i wanna) cut to the feeling,2019,Harry Potter/Tom Riddle,M/M,"“You promised you would marry me,” Tom says.“I—” Harry feels lightheaded. “Tom, we wereseven.”“So you lied?”“No,” Harry says. Surer, then, “No. I didn’t.”Harry and Tom are childhood friends. When they were seven, Tom proudly announced that he would marry Harry when they were older.Now, ten years later and in N.E.W.T. year, Tom plans on making that promise a reality.",English,"3,736",76,1/1,"7,671","1,126","53,251"
737,My Father is a Dark Lord!,2021,Harry Potter/Tom Riddle | Voldemort,M/M,"As Harry opens his mouth to scream, Lucius does as well.But the words that come out of their mouth are entirely different.When all Harry heard from himself was a gibberish cry, Lucius’ voice echoes loud and clear.“MY LORD, THERE’S A BABY IN HERE!”",English,"33,043","2,080",37/37,"7,669","1,257","155,548"
738,Harry Potter and the Interlude,2016,N/A,Gen,"As Harry gets used to living with Sirius and Remus, he, along with his friends and family, must deal with the knowledge of Voldemort's return. What will this mean for Harry's friendship with the Most Ancient and Noble House of Malfoy?",English,"37,416",359,10/10,"7,664",557,"116,645"
739,Ba,2012,N/A,Gen,"Every year on Christmas, Harry wants to hear the story of how he arrived at Spinner’s End… in a box.",English,"10,071",205,2/2,"7,662","1,547","68,624"
740,The Gentlewizard Club,2014,Draco Malfoy/Harry Potter,M/M,"Draco wants what Draco wants. And if he has to snuggle up to Harry to get it, well, surely, Draco can handle that. Problem is, not sure Harry can.",English,"28,129",352,5/5,"7,658","1,225","134,800"
741,Ink (My Skin With Your Name),2019,Draco Malfoy/Harry Potter,M/M,"Several years after the war, an ostracized Draco Malfoy covers himself in tattoos, becomes best friends with a muggle, and debates abandoning magical society entirely to work in a tattoo shop. All in all, he's having a hell of a time trying to figure out who he is and what he wants to do with his life. The last thing he needs is to run into Harry Potter, who seems intent on becoming his friend, even if he has to get a lot of ink to do it.",English,"21,864",175,1/1,"7,657","1,926","51,509"
742,Tug-O-Want,2013,Draco Malfoy/Harry Potter,M/M,Harry is back at Hogwarts minding his own business when he finds himself magically drawn to Draco Malfoy. Over and over again.,English,"16,668",139,1/1,"7,651","1,389","109,845"
743,The Head of the House of Slytherin,2021,Harry Potter & Severus Snape,Gen,"Severus Snape is committed to the welfare of his students, and providing them with a quality education. And since Dumbledore isn't providing them with the resources he needs, he's turning to other allies for assistance.An exploration of what COULD have happened in Harry's second year. (Read Part 1 first)",English,"58,666","2,509",55/55,"7,646",892,"182,227"
744,The Innkeeper,2021,Harry Potter/Tom Riddle,M/M,"Dimitriv had been the Innkeeper for a number of years, never finding an heir to take over, leaving him - with his immortal life - to watch over the Inn and the creatures that came by for sanctuary, food or just a talk.But that all changes when he finds a baby on a doorstep in a subburb, on a cold winter night, taking the child with him and quickly realising he has found his heir. Disrupting quite a few plans in the process, while endearing him with Death for taking his Chosen to grow up where he could make a difference.Join Harry's journey as he becomes the next Innkeeper, part of a secret society, that still follow the Olde Ways of Magic, and don't let anything as a non-human appearance fool him into thinking the person sitting in front of him was some kind of monster.",English,"71,472","1,438",35/35,"7,642","2,526","224,509"
745,Onyx,2018,Remus Lupin/Severus Snape,M/M,"Harry and Jax’s second summer at Spinner’s End and third year at Hogwarts. One filled with new and exciting classes, a surprisingly competent Defense Professor, and a few revelations that nobody saw coming, least of all Harry himself.",English,"139,574","2,981",27/27,"7,639",505,"138,244"
746,if wishes were thestrals (muggles would ride),2023,Lucius Malfoy/Female Regulus Black,F/F,"This is a vignette collection of stories set in my Pureblood Culture 'verse. In which magic is sentient, vows are never meant to be broken, love isn’t a frivolous pursuit, and alliances can shelter or destroy. Being a pureblood is a matter of honor and responsibility.",English,"20,211","1,267",58/58,"7,637","1,552","292,853"
747,To Save A Genius,2020,Harry Potter/Tony Stark,M/M,"After the Age of Ultron, Tony has had enough, and he takes a break disappearing to Scotland to stay by his Aunt Angie, and to recoup and recover after everything that has happened, and those in his life have hurt him again. While he is in Scotland he meets Harry Potter, a man who seems determined to care for him, can Tony open up enough to let him in? Slash",English,"34,567",391,7/7,"7,636","2,274","123,687"
748,Stealing Sweaters,2017,Draco Malfoy/Harry Potter,M/M,"It's their eighth and final year and over the course of several months, Harry and Draco have managed to become close friends. Their friends are entirely certain that they ought to be much, much more. So they just decide to... help things along.",English,"12,982",195,2/2,"7,632","1,079","68,460"
749,Chase the Wind,2014,Draco Malfoy/Harry Potter,M/M,"Draco is up to something, Harry has no filters, and Hermione knows everything. AU Hogwarts fluff with no excuses.",English,"10,533",160,1/1,"7,628","1,091","84,156"
750,I'll Only Hurt You if You'll Let Me,2019,Harry Potter/Natasha Romanov (Marvel),F/M,Natasha doesn't meet her soulmate first; she meets his son and falls in love.,English,"4,468",165,1/1,"7,621",936,"88,681"
751,Don't think about it and it will go away on its own,2023,Jasper Hale/Harry Potter,F/M,"He didn't want to be Harry Potter anymore.There was nothing left for him in the wizarding world so he was starting over.Harry Black, a 17-year-old muggle with too much time on his hands, moves to the only place where he might still have family.Forks, Washington, seems like the perfect place to start over and carve out a new place for himself but he's not the only immortal teenager in town and ignoring the problem doesn't seem to be making it go away.He didn't need to get involved with every supernatural mystery, and really, was it any of his business if his new cousin's eyes glowed amber sometimes? It certainly wasn't any of his business that a coven of vampires were pretending to be teenagers at his school.Harry is determined to ignore what's happening and instead focus on his hatred of Charles Dickens, Chemistry homework and Mike Newton.But the supernatural element of his new high school can't seem to leave him alone and Harry has always been really bad at staying out of things.----Followmy Tumblrfor updates on this fic and everything else I'm working on!",English,"170,702","1,481",18/18,"7,603","2,237","196,386"
752,Enemies with Benefits,2017,Hermione Granger/Draco Malfoy,F/M,"Dramione smut with a bit of plot. After their respective bitter breakups, Draco Malfoy and Hermione Granger coincidentally end up drunk together at the same work party. Despite their mutual hatred, they somehow end up shagging in one of the Ministry's offices. But what was supposed to be a one-night-stand just keeps repeating itself in various ways...",English,"39,565",409,16/16,"7,596","1,713","208,627"
753,Lollies and Loki,2019,Gabriel (Supernatural) & Hermione Granger,Gen,Hermione Granger is seven years old when she kneels in front of an altar she's made herself with an offering of the best sweets her pocket money could buy and prays to a Trickster God.Gabriel hears.,English,"180,008","2,196",49/49,"7,588","2,066","191,590"
754,In The Forest Of Dean,2021,Hermione Granger/Harry Potter,F/M,"A complete rewrite of Book Seven with a darker and more dangerous outlook on war.Mostly Hermione-centric. Mostly follows canon but provides a different look at how the relationships in HP could have formed had Hermione realized that she and Ron did not fit well together and that Harry, her best friend, was really what she was looking for the whole time. The story of what could have happened between Harry and Hermione in the Deathly Hallows after Ron leaves.Features added subplots, alt POVs, OC characters, and a gritty and realistic view of the war. HHR is the main pairing, but this fic is about more than just their relationship. It is a fully developed story about the war following Hermione and her allies through the fight.‘So why are you still here?’ Harry asked Ron.‘Search me,’ said Ron.‘Go home then,’ said Harry.‘Yeah, maybe I will!’ shouted Ron, and he took several steps towards Harry, who did not back away.**This fic contains mature content, explicit language, and is dark in nature. PLEASE READ THE TAGS. If you are looking for nothing but fluff, you will not find it here.*COMPLETE",English,"961,322","4,856",87/87,"7,579","2,305","614,831"
755,Rock-a-,2018,Draco Malfoy/Harry Potter,M/M,"Harry Potter knew that having a baby by himself would be difficult, but when his son's other father arrives on his doorstep, furious and upset at not being told about Harry's pregnancy, Harry's already messy life becomes a thousand times more complicated.",English,"28,402",137,1/1,"7,579","1,500","102,742"
756,Outside Your Castle,2021,Harry Potter/Voldemort,M/M,"When the Potter twins summon a hero with the power to defeat Voldemort, Harry finds himself in a dimension where his soulmate's counterpart is alive and well.",English,"18,202",339,5/5,"7,544","1,297","76,750"
757,The Art of Seating Etiquette,2020,Hermione Granger/Draco Malfoy,F/M,"Hermione believes that every problem has a solution, and that solution can be found in a book. That is, until Draco starts sitting to her right every Friday. She has no answers until help comes in the form of an unlikely source: Ron Weasley.",English,"9,734",222,1/1,"7,536","1,975","120,256"
758,Hero of the Story,2020,Hermione Granger/James Potter,F/M,"[Complete]Maybe, fate didn't want Hermione Granger to run away. Maybe, fate wanted Hermione Granger to change the world instead. || In which, with another chance at life, Hermione unexpectedly made heroes out of the usual villains.Marauders Era | Time Travel-ish/Alternate Universe | Slow burn James x Hermione",English,"364,621","2,057",57/57,"7,532","2,611","338,243"
759,Hell is Ours to Carry,2017,Harry Potter/Voldemort,M/M,"The ritual brings the Order a light wizard who’d already sacrificed all he had to the cause. When asked again, Harry can’t bring himself to make the same choice.",English,"3,849",120,1/1,"7,531",738,"77,017"
760,Harry Potter and the Sentinel Phenomenon,2012,Draco Malfoy/Harry Potter,M/M,"Everything changes the summer after fifth year. Draco refuses to take the Dark Mark and must deal with leaving behind the life, friends and family he's always known.The Dursley's abandon Harry alone in the woods for a week, triggering his Sentinel gifts and leaving him hurting and in need of a Guide. Can two rivals put aside five years worth of antagonism in order to work together to save Hogwarts and each other?",English,"75,115",259,8/8,"7,522","1,686","174,363"
761,Pureblood Omega Etiquette,2018,Harry Potter/Tom Riddle,M/M,"“Harry?”Tom immediately took a step back. Of all the things he was expecting to see on his patrol as a prefect tonight, this was the last thing on his mind. Harry was in his sleeping robes. In silk. In red. And Tom could make out things that he supposedly shouldn’t. “Where are your chaperones?”The omega had the gall to look embarrassed. “I… they’re asleep, I was hungry.” He said sheepishly.Without another word, Tom turned to leave. If he left now, then he could still control himself, because what that red silk did to him—“Tom?” Harry said softly. Harry’s eyes were wide and there was a soft honest smile on his face. “It–It’s fine if it’s with you.”His eyes widened and his voice was cold even to his own ears. “That’s not for you to decide.”Because it wasn’t.",English,"5,995",128,1/1,"7,515","1,297","65,382"
762,a boy so pretty (such a pity),2019,Harry Potter/Tom Riddle,M/M,"“Riddle,” he greets carefully. His gaze flicks over to the Slytherin table, but none of them are paying any attention. Which is... worrying, actually. He looks back to Riddle, who’s still looming over him. “What can I do for you?”“Potter,” Riddle says, and he actually sounds… nice. This is growing more suspicious by the second. “May I escort you to class?”Ron snorts, not even attempting to disguise the sound.“You’re joking, right?” he asks, leaning forward to glare up at the other boy, “Fuck off, Riddle. Harry doesn’t need an escort fromyou.”Harry watches Riddle’s face carefully. His expression sours, but only for a moment before it’s smooth again. He smiles, and if Harry didn't know better, he might call it charming.Well. Okay. He really does know better.But it’s still charming.Featuring attempted manipulation, Tom Riddle experiencing positive emotions for quite possibly the first time ever, and absolutely no angst whatsoever",English,"5,327",140,1/1,"7,496","1,700","56,767"
763,His Little Something,2017,Draco Malfoy/Harry Potter,M/M,"Malfoy claims he can fuck anyone he wants, which is absolutely ridiculous. And Harry is going to prove it.Meanwhile Draco just wants another glimpse of Potter's cock.",English,"6,071",157,1/1,"7,495","1,083","146,961"
764,Strange Bathfellows,2017,Draco Malfoy/Harry Potter,M/M,"It started with a bath. Or a potions accident. Or maybe it started before that, but who can tell anymore.Featuring: Uncomfortable wanking, more comfortable wanking, mutual wanking, bath sharing, inappropriate betting, secret shagging, those secrets at Hogwarts that everyone knows, and oblivious Harry who knows one thing: he's falling in love.",English,"27,676",331,1/1,"7,492","1,668","113,422"
765,"The Birds, The Bees, And The Snakes",2004,Sirius Black/Remus Lupin,M/M,Harry discovers sexual education.,English,"2,557",114,1/1,"7,485",257,"95,461"
766,"chew me up, but don’t spit me out",2024,Regulus Black/James Potter,M/M,"Regulus has it all figured out. He keeps men on a rotating roster so none can get too close, works nights as a dancer to make the most of his chronic insomnia, and pushes everything he doesn’t want to remember about the past ten years into the recesses of his mind. It’s easier to pretend none of it ever happened.But when James Potter crashes into Regulus’ life with his fancy sports car, wealth beyond measure, and devil’s smile, it marks a switch in the natural order of things. James is a client; Regulus isn’t allowed to fall in love with him. Except James is the first man in a long time who can see past Regulus’ carefully constructed façade, and who could ever resist the temptation of being known?Or, this is a story about identity, addiction, self-expression, and love in all of the varying shapes they can take.",English,"261,000","3,941",25/25,"7,477","1,697","364,060"
767,rotten on the inside,2019,Hermione Granger & Harry Potter,Gen,"Harry's boggart isn't Voldemort, or even a dementor. It's something much worse.",English,"3,501",146,3/3,"7,477","1,191","59,379"
768,Forever Is Composed Of Nows [James/Aurore],2019,James Sirius Potter/Original Female Character(s),F/M,"When James was at the hospital, he didn’t call his mum. A tale of bedside vigils.",English,"5,908",169,1/1,"7,462",765,"149,954"
769,Instruction For A Misplaced Slytherin,2017,Draco Malfoy/Harry Potter,M/M,"Potter stared at him with an intense, indecipherable expression. He cleared his throat. “You know what? It would be easier to learn if you just showed me,” he said abruptly.In which Draco has a crush but fancies himself kind, Harry is oblivious but overly ambitious (and the teensiest bit sneaky), and things get dirty really fast.",English,"8,538",208,1/1,"7,461","1,046","95,067"
770,Your Name Upon my Heart,2019,Clint Barton/Harry Potter,M/M,"AIM has gained access to a new energy source - problem is, that energy source happens to be a person.",English,"3,040",70,1/1,"7,444",588,"81,193"
771,Top Harry Drabbles,2021,Harry Potter/Thorin Oakenshield,M/M,What it says on the tin. Drabbles devoted to top Harry.Most chapters will contain sex.,English,"226,945","1,283",91/91,"7,440",883,"367,379"
772,Completely Gone,2016,Regulus Black/James Potter,M/M,"After the death of his mother, artist Regulus Black decides to return to London to spend time with Sirius and his mates. What he doesn't expect is to be completely swept away by the gorgeous single dad, James Potter.",English,"5,416",71,1/1,"7,431","1,144","66,956"
773,Eternity,2016,Draco Malfoy/Harry Potter,M/M,"On one's 21st birthday, one's soul mark is burnt into one's skin. It could be anything; a name, a number, a symbol.Harry turned twenty-one 1186 days after he had killed Voldemort. He was woken by the blazing pain of his soul mark etching itself across his back. He tumbled out of bed, heart racing.",English,"1,099",103,1/1,"7,426",547,"104,887"
774,Heat of the Moment,2017,Draco Malfoy/Harry Potter,M/M,"Harry’s never felt much like an Alpha but that all changes when Draco Malfoy turns up on his doorstep, asking Harry for help.",English,"2,229",94,1/1,"7,420",743,"117,541"
775,"Ferocious Determination, Insufficient Deliberation, and a Slightly Wrong Destination",2012,Draco Malfoy/Harry Potter,M/M,"All Draco wants is sleep, but his bed won't stop talking. More importantly, it refuses to stop looking like Harry Potter.",English,"9,567",78,1/1,"7,420","1,277","100,823"
776,Happy Pills,2022,Hermione Granger/Draco Malfoy,F/M,"A few years after the Second Wizarding War, a group of Slytherins is drafted into a rehabilitation program created by the Ministry of Magic and one of its determined interns--one of their former classmates and the familiar Golden Girl of Gryffindor. As their marks continue to cause physical and mental pain, the Slytherins undergo intense treatment in order to relearn everything about the Wizarding World and tackle the trauma of their Dark Marks.And although they are apprehensive, they are also desperate for someone to simply care about them.",English,"281,593","1,932",41/41,"7,412","3,215","536,781"
777,The Best Mistake,2024,Hermione Granger/Draco Malfoy,F/M,"Hermione Granger does not make mistakes, at least not often. After making the biggest, dumbest, most horrible mistake of her life, Hermione must deal with the repercussions while keeping her relationship with her Auror partner, Draco Malfoy, strictly professional. He, of course, has other plans.Amidst a resurgence in Death Eater activity, the likes of which Britain hasn’t seen since the First Wizarding War, Hermione will come to realize that the mistake she’s made with Draco might not be so bad at all. It just might be the best mistake.",English,"127,444","1,386",26/26,"7,409","2,492","303,852"
778,The pet of Slytherin House,2021,Theodore Nott & Harry Potter,Gen,Lady Magic manifest. Harry Potter vanishes. The Slytherin house gains a new pet. Just another normal day at Hogwarts.,English,"56,017",372,17/17,"7,407","2,042","184,968"
779,Luckiest Ba,2020,Draco Malfoy/Harry Potter,M/M,"“You’re staring,” Malfoy says.“I’m not.” Harry is. He just - he can’t see it.“You can’t see it yet, Potter.” Malfoy sounds miffed.“I’m not trying to,” Harry lies, finally tearing his eyes away; he looks out the window in a desperate attempt to get a single thought into his head that isn’t what the fuck.“Look,” Malfoy says. “It’s not like I’m telling you that you have to be a part of its life. I only-”“How do you know it’s mine?” The question is out of his mouth before Harry can think better of it, and he immediately regrets it because of the way Malfoy’s face shutters, turns cold.",English,"18,512",221,1/1,"7,406","1,294","79,375"
780,Registration,2003,N/A,Gen,"James roped Remus and Sirius into holding his place in line for registering Harry; when he defaults at the last minute, his friends are forced to pick Harry's name for him.",English,"6,320",244,1/1,"7,399","1,671","54,928"
781,One and Done,2020,Hermione Granger/Draco Malfoy,F/M,"Hermione Granger has a career she loves, friends she can depend on, and a nice set of hand towels for her new flat.She's single and tired of tiresome men, but that doesn't stop her from wearing beautiful lingerie underneath her serious Ministry skirts.Or having pictures taken in naughty knickers.Just once.For herself.Draco Malfoy doesn't get upset at the sight of blood, which is good, because he sees a lot of it.What he doesn't see a lot of is Hermione Granger in her unmentionables.Usually.A series of meetings and mix-ups in which one cannotpossiblymean done.",English,"34,927",538,4/4,"7,384","2,299","212,837"
782,The Gift of Giving,2020,Harry Potter/Tom Riddle,M/M,"“You don’t work here,” he says, dragging his eyes up and down Harry’s body in a slow once-over. “I’d remember you.” Harry shuffles his feet and, for some reason, the movement makes the man smirk. Harry’s cheeks flame. Fuck this guy.*Tom Riddle might just be the most pompous, entitled, self serving man Harry has ever met. If only his attempts at seduction weren’t so effective.",English,"16,808",320,3/3,"7,381","1,745","66,897"
783,A String of Consequences,2022,Regulus Black/James Potter/Lily Evans Potter,F/M,"The brewing of amortentia in Regulus' potions class, creates a chain reaction few people expected.",English,"164,536","1,026",30/30,"7,378","1,820","235,374"
